headline,links,text,Paper_Name,Story_type
Covid-19 meet with PM: Maharashtra may raise issue of lack of Centreâ€™s support ,https://www.hindustantimes.com/cities/covid-19-meet-with-pm-maharashtra-may-raise-issue-of-lack-of-centre-s-support/story-yNIEj4ktfbdBbWBwaTPWuM.html,Covid-19 meet with PM: Maharashtra may raise issue of lack of Centreâ€™s support ,The_HT,Top_Stories
Parliament monsoon session: What to expect today,https://www.hindustantimes.com/india-news/parliament-monsoon-session-what-to-expect-today/story-KpkkKk22G45TZ8uv9y9XjJ.html,Parliament monsoon session: What to expect today,The_HT,Top_Stories
PM Modi to meet chief ministers of  7 states. Hereâ€™s what to expect,https://www.hindustantimes.com/india-news/pm-modi-to-meet-chief-ministers-of-these-7-states-here-s-why/story-bEOs2kOg8RCoxtFkn1aD8H.html,PM Modi to meet chief ministers of  7 states. Hereâ€™s what to expect,The_HT,Top_Stories
Local trains cancelled in Mumbai due to heavy rainfall and waterlogging,https://www.hindustantimes.com/mumbai-news/local-trains-cancelled-in-mumbai-due-to-heavy-rainfall-and-waterlogging/story-KN0BLtSp6R2f6609Fx8EwL.html,Local trains cancelled in Mumbai due to heavy rainfall and waterlogging,The_HT,Top_Stories
Mumbai suburbs experience second highest 24-hr Sept rain in 26 years,https://www.hindustantimes.com/mumbai-news/mumbai-suburbs-experience-second-highest-24-hr-sept-rain-in-26-yrs/story-QmRciWGBKykNTpDwfSFVJN.html,Mumbai suburbs experience second highest 24-hr Sept rain in 26 years,The_HT,Main_Story
"Ladakh standoff | India, China agree to stop sending more troops to frontline ",https://www.thehindu.com/news/national/ladakh-standoff-new-army-talks-positive-but-no-breakthrough-on-de-escalation/article32667313.ece,"Ladakh standoff | India, China agree to stop sending more troops to frontline ",The_Hindu,Top_Stories
"Farm Bills | Amid protests, kharif crops ripen",https://www.thehindu.com/sci-tech/agriculture/early-impact-of-farm-bills-likely-as-kharif-marketing-season-begins/article32671878.ece,"Farm Bills | Amid protests, kharif crops ripen",The_Hindu,Top_Stories
PM Modi to review COVID-19 status in 7 States/UTs today,https://www.thehindu.com/news/national/pm-modi-to-review-covid-19-status-in-7-high-burden-states-on-sept-23/article32667413.ece,PM Modi to review COVID-19 status in 7 States/UTs today,The_Hindu,Top_Stories
"COVID-19 | Festival crowds could pose a threat, warns NITI Aayog member",https://www.thehindu.com/news/national/niti-aayog-member-warns-of-infection-spread-during-festival-season-crowding/article32670725.ece,"COVID-19 | Festival crowds could pose a threat, warns NITI Aayog member",The_Hindu,Top_Stories
"Hold China accountable for pandemic, Donald Trump tells UN ",https://www.thehindu.com/news/international/hold-china-accountable-for-pandemic-donald-trump-tells-un/article32671485.ece,"Hold China accountable for pandemic, Donald Trump tells UN ",The_Hindu,Top_Stories
 Parliament proceedings live updates | Rajya Sabha proceedings begin without Opposition parties,https://www.thehindu.com/news/national/parliament-proceedings-live-updates-september-23-2020/article32673997.ece, Parliament proceedings live updates | Rajya Sabha proceedings begin without Opposition parties,The_Hindu,Main_Story
